Inverted Pendulum (Datalogger K)

Sampling interval = 2.5mS
Logging time (s) = 5
Zoomlevel = 10

Inverted state of displayed channels:
CD False
CP False
CV False
PP False
PV False
_____________________________________________

Time,CD,CP,CV,PP,PV

0.0000,2068,2089,2050,2032,2044
0.0025,2068,2090,2050,2032,2044
0.0050,2068,2089,2050,2033,2044
0.0075,2068,2089,2051,2031,2044
0.0100,2068,2089,2050,2033,2044
0.0125,2068,2090,2051,2032,2044
0.0150,2068,2089,2050,2032,2044
0.0175,2068,2090,2050,2031,2044
0.0200,2068,2089,2050,2032,2044
0.0225,2068,2089,2050,2032,2044
0.0250,2068,2089,2052,2032,2044
0.0275,2068,2089,2050,2032,2044
0.0300,2068,2090,2050,2033,2043
0.0325,2068,2090,2051,2031,2044
0.0350,2068,2089,2050,2031,2044
0.0375,2068,2090,2052,2032,2044
0.0400,2068,2089,2050,2031,2044
0.0425,2068,2089,2050,2032,2044
0.0450,2068,2091,2050,2032,2043
0.0475,2068,2090,2051,2031,2043
0.0500,2068,2089,2051,2031,2045
0.0525,2068,2089,2050,2031,2044
0.0550,2068,2090,2051,2031,2044
0.0575,2068,2089,2050,2031,2044
0.0600,2068,2089,2050,2032,2044
0.0625,2068,2090,2051,2032,2044
0.0650,2068,2089,2050,2031,2043
0.0675,2068,2089,2050,2032,2044
0.0700,2068,2090,2050,2032,2043
0.0725,2068,2090,2050,2032,2043
0.0750,2068,2090,2051,2033,2044
0.0775,2068,2089,2050,2032,2044
0.0800,2068,2089,2050,2032,2043
0.0825,2068,2090,2050,2032,2044
0.0850,2068,2089,2049,2032,2044
0.0875,2068,2089,2052,2032,2043
0.0900,2068,2090,2050,2032,2043
0.0925,2068,2090,2050,2031,2044
0.0950,2068,2089,2050,2031,2044
0.0975,2068,2090,2050,2032,2044
0.1000,2068,2089,2051,2033,2044
0.1025,2068,2089,2050,2032,2045
0.1050,2068,2089,2050,2031,2043
0.1075,2068,2089,2050,2032,2044
0.1100,2068,2089,2050,2032,2044
0.1125,2068,2089,2052,2031,2043
0.1150,2068,2089,2050,2031,2044
0.1175,2067,2089,2050,2031,2044
0.1200,2068,2089,2049,2032,2044
0.1225,2068,2090,2050,2031,2043
0.1250,2068,2090,2050,2032,2044
0.1275,2068,2089,2050,2031,2044
0.1300,2068,2089,2050,2032,2043
0.1325,2068,2088,2050,2032,2044
0.1350,2068,2089,2050,2032,2044
0.1375,2067,2090,2051,2032,2044
0.1400,2068,2089,2050,2031,2043
0.1425,2068,2089,2050,2031,2043
0.1450,2068,2089,2050,2031,2043
0.1475,2068,2089,2050,2031,2044
0.1500,2068,2090,2051,2032,2044
0.1525,2068,2089,2050,2032,2043
0.1550,2068,2089,2050,2032,2043
0.1575,2068,2090,2049,2032,2044
0.1600,2068,2089,2050,2031,2043
0.1625,2068,2090,2051,2032,2044
0.1650,2068,2089,2049,2031,2043
0.1675,2068,2089,2050,2031,2043
0.1700,2068,2089,2050,2032,2043
0.1725,2068,2089,2050,2031,2043
0.1750,2068,2089,2052,2032,2043
0.1775,2068,2089,2050,2031,2043
0.1800,2068,2089,2050,2031,2043
0.1825,2068,2089,2049,2031,2044
0.1850,2068,2090,2050,2032,2043
0.1875,2068,2089,2052,2032,2043
0.1900,2068,2089,2050,2032,2044
0.1925,2067,2090,2050,2032,2043
0.1950,2068,2089,2050,2032,2043
0.1975,2068,2088,2050,2032,2044
0.2000,2068,2089,2051,2031,2043
0.2025,2068,2090,2049,2031,2044
0.2050,2068,2089,2050,2031,2044
0.2075,2068,2090,2050,2031,2043
0.2100,2068,2089,2049,2032,2044
0.2125,2068,2090,2051,2031,2044
0.2150,2068,2089,2050,2032,2044
0.2175,2068,2090,2050,2032,2044
0.2200,2068,2090,2050,2031,2044
0.2225,2068,2090,2050,2032,2044
0.2250,2068,2089,2051,2032,2044
0.2275,2068,2089,2050,2031,2044
0.2300,2068,2089,2050,2031,2043
0.2325,2068,2089,2050,2032,2043
0.2350,2068,2090,2050,2031,2043
0.2375,2068,2089,2052,2031,2044
0.2400,2068,2090,2049,2032,2043
0.2425,2068,2089,2050,2032,2044
0.2450,2068,2089,2050,2031,2043
0.2475,2068,2090,2051,2032,2044
0.2500,2068,2090,2052,2032,2045
0.2525,2068,2089,2050,2032,2044
0.2550,2068,2089,2051,2032,2043
0.2575,2068,2090,2050,2031,2044
0.2600,2068,2089,2050,2032,2044
0.2625,2068,2090,2051,2032,2044
0.2650,2068,2090,2050,2031,2045
0.2675,2068,2090,2051,2031,2044
0.2700,2068,2089,2050,2032,2044
0.2725,2068,2090,2051,2032,2044
0.2750,2068,2090,2051,2031,2043
0.2775,2068,2089,2051,2031,2044
0.2800,2068,2089,2050,2032,2044
0.2825,2068,2090,2050,2031,2044
0.2850,2068,2089,2050,2032,2044
0.2875,2068,2089,2051,2031,2043
0.2900,2068,2090,2050,2032,2043
0.2925,2068,2089,2050,2031,2044
0.2950,2068,2089,2050,2031,2044
0.2975,2068,2089,2050,2031,2044
0.3000,2068,2089,2052,2031,2043
0.3025,2068,2089,2050,2031,2044
0.3050,2068,2090,2049,2032,2044
0.3075,2068,2089,2050,2032,2044
0.3100,2068,2089,2050,2031,2044
0.3125,2068,2089,2051,2032,2043
0.3150,2068,2089,2050,2032,2044
0.3175,2068,2089,2050,2032,2044
0.3200,2068,2090,2050,2032,2044
0.3225,2068,2089,2050,2031,2043
0.3250,2068,2090,2051,2032,2043
0.3275,2068,2089,2049,2031,2043
0.3300,2068,2089,2050,2032,2044
0.3325,2068,2090,2050,2031,2044
0.3350,2068,2089,2050,2032,2043
0.3375,2068,2090,2052,2032,2044
0.3400,2068,2089,2050,2032,2044
0.3425,2068,2089,2050,2031,2044
0.3450,2068,2089,2050,2031,2044
0.3475,2068,2090,2050,2032,2044
0.3500,2068,2089,2051,2031,2044
0.3525,2068,2090,2050,2031,2044
0.3550,2068,2089,2050,2031,2043
0.3575,2068,2090,2050,2031,2044
0.3600,2068,2090,2050,2031,2044
0.3625,2068,2089,2052,2032,2043
0.3650,2068,2089,2050,2032,2043
0.3675,2068,2090,2050,2032,2043
0.3700,2068,2089,2050,2031,2043
0.3725,2068,2089,2050,2032,2043
0.3750,2068,2090,2051,2032,2045
0.3775,2068,2090,2050,2032,2044
0.3800,2068,2089,2050,2032,2043
0.3825,2068,2089,2050,2032,2043
0.3850,2068,2089,2050,2031,2043
0.3875,2068,2089,2051,2032,2044
0.3900,2068,2089,2050,2032,2044
0.3925,2068,2088,2050,2032,2044
0.3950,2068,2089,2050,2031,2044
0.3975,2068,2089,2050,2032,2044
0.4000,2068,2089,2051,2032,2044
0.4025,2068,2089,2050,2033,2043
0.4050,2068,2089,2050,2032,2043
0.4075,2068,2089,2050,2031,2044
0.4100,2068,2089,2050,2032,2043
0.4125,2068,2089,2052,2033,2043
0.4150,2068,2089,2050,2032,2044
0.4175,2068,2089,2049,2032,2044
0.4200,2068,2089,2050,2032,2044
0.4225,2068,2089,2050,2031,2044
0.4250,2068,2089,2052,2033,2044
